OBJECTID,NAME,CATEGORY,ZIP_CODE,COMMENTS,Location 1
124,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"1801 Devereux Dr.
BURLINGAME, CA 94010
(37.588155429493462, -122.379178433352790)"
125,BREWER ISLAND ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94404,,"1151 Polynesia Dr.
FOSTER CITY, CA 94404
(37.560723717601384, -122.261207602670590)"
126,BOWDITCH MIDDLE SCHOOL,MIDDLE SCHOOL,94404,,"1450 Tarpon St.
FOSTER CITY, CA 94404
(37.560537606805681, -122.248840769242010)"
127,EVEREST PUBLIC HIGH SCHOOL,HIGH SCHOOL,94063,,"455 5th Ave.
Redwood City, CA 94063
(37.473429871452183, -122.203777813381750)"
128,ASPIRE EPA PHOENIX ACADEMY,7-12 SCHOOL,94303,Based on parcels tax use and Google,"1039 Garden St.
EAST PALO ALTO, CA 94303
(37.466978305242783, -122.131799260094250)"
129,HILLDALE SCHOOL,K-8 SCHOOL,94014,Based on parcels tax use and Google,"79 Florence St.
DALY CITY, CA 94014
(37.697856886050488, -122.458427246270760)"
130,TAYLOR MIDDLE SCHOOL,MIDDLE SCHOOL,94030,Revision based on parcels tax use,"850 Taylor Blvd.
MILLBRAE, CA 94030
(37.597582161592634, -122.400967828747210)"
131,RALSTON INTERMEDIATE SCHOOL,MIDDLE SCHOOL,94002,,"2675 Ralston Ave.
BELMONT, CA 94002
(37.512270941165099, -122.312876116055050)"
132,FOX ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94002,Revision based on parcels tax use,"3100 Saint James Rd.
BELMONT, CA 94002
(37.507639287736552, -122.321811426420840)"
133,BEECHWOOD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,Based on parcels tax use,"50 Terminal Ave.
MENLO PARK, CA 94025
(37.478792121993351, -122.167742746463870)"
134,RONALD MCNAIR ACADEMY MIDDLE SCHOOL,MIDDLE SCHOOL,94303,Based on Caltrans data and Goggle Map,"2033 Pulgas Ave.
EAST PALO ALTO, CA 94303
(37.461740468101191, -122.130159186117110)"
135,MERCY HIGH SCHOOL,HIGH SCHOOL,94010,Based on parcels tax use,"2750 Adeline Dr.
BURLINGAME, CA 94010
(37.580949720620147, -122.383068162787540)"
136,JOHN F. KENNEDY MIDDLE SCHOOL,MIDDLE SCHOOL,94061,,"2521 Goodwin Ave.
REDWOOD CITY, CA 94061
(37.460089887130906, -122.239040654345430)"
137,ST. PATRICK'S SEMINARY AND UNIVERSITY,RELIGIOUS SCHOOL,94025,,"320 Middlefield Rd.
MENLO PARK, CA 94025
(37.456328965710789, -122.167416084890580)"
138,NATIVITY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,,"1250 Laurel St.
MENLO PARK, CA 94025
(37.457765827348851, -122.183215369341720)"
139,HENRY FORD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94061,,"2498 Massachusetts Ave.
REDWOOD CITY, CA 94061
(37.456558503774353, -122.232592636169230)"
140,MONTE VERDE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94066,Revision based on parcels tax use,"2551 St. Cloud Dr.
SAN BRUNO, CA 94066
(37.636678272610482, -122.452533293690440)"
141,LOMITA PARK ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94066,,"200 Santa Helena Ave.
SAN BRUNO, CA 94066
(37.612155657266321, -122.400996129271930)"
142,THOMAS EDISON ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,Caltrans data,"1267 Southgate Ave.
DALY CITY, CA 94015
(37.676186596955134, -122.485343724945320)"
143,CROCKER MIDDLE SCHOOL,MIDDLE SCHOOL,94010,Caltrans data,"2600 Ralston Ave.
HILLSBOROUGH, CA 94010
(37.566220098498704, -122.362666986103960)"
144,SUMMIT PREPARATORY CHARTER HIGH SCHOOL,HIGH SCHOOL,94063,Based on parcels tax use and Google (old address 260 James Ave. ),"890 Broadway St.
REDWOOD CITY, CA 94063
(37.486598289427668, -122.210944809873690)"
145,SPECIAL EDUCATION SERVICES,SPECIAL EDUCATION,94066,Based on parcels tax use and info from County board of education,"1290 Commodore Dr.
SAN BRUNO, CA 94066
(37.631209094546001, -122.426615494575120)"
146,OCEANA HIGH SCHOOL,HIGH SCHOOL,94044,,"401 Paloma Ave.
PACIFICA, CA 94044
(37.636890079199055, -122.485133650322850)"
147,ST. MATTHEW'S EPISCOPAL DAY SCHOOL,RELIGIOUS SCHOOL,94401,Based on Google Maps,"16 Baldwin Ave.
SAN MATEO, CA 94401
(37.565464202045938, -122.327874651245070)"
148,CIPRIANI ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94002,,"2525 Buena Vista
BELMONT, CA 94002
(37.516827417727683, -122.305287695608800)"
149,EASTSIDE COLLEGE PREPARATORY SCHOOL,MIDDLE/HIGH SCHOOL,94303,Based on parcels tax use and Google,"1041 Myrtle Ave.
EAST PALO ALTO, CA 94303
(37.463341091914266, -122.132863582246260)"
150,BELMONT OAKS ACADEMY,ELEMENTARY SCHOOL,94002,Tax Use data and Google,"2200 Carlmont Drive
BELMONT, CA 94002
(37.510814739829954, -122.297140395495060)"
151,LA ENTRADA MIDDLE SCHOOL,MIDDLE SCHOOL,94025,Bsed on parcels tax use,"2200 Sharon Rd.
MENLO PARK, CA 94025
(37.428637341332426, -122.200619938714030)"
152,SKYLINE COLLEGE,COLLEGE,94066,,"3300 College Dr.
SAN BRUNO, CA 94066
(37.632199405334553, -122.461222546516780)"
153,HOLY ANGELS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,Based on parcles tax use,"20 Reiner St.
COLMA, CA 94014
(37.686334131588161, -122.466683062870810)"
154,NORTH HILLSBOROUGH ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"545 Eucalyptus Ave.
HILLSBOROUGH, CA 94010
(37.569121017594568, -122.361922395921160)"
155,SUSAN B. ANTHONY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,Caltrans data,"575 Abbot Ave.
DALY CITY, CA 94014
(37.688803464961744, -122.458095887406880)"
156,EDISON-BRENTWOOD ELEMENTARY,ELEMENTARY SCHOOL,94303,Based on Caltarns data and Google Map,"2086 Clarke St.
EAST PALO ALTO, CA 94303
(37.462261020851834, -122.134603202133310)"
157,THE ODYSSEY SCHOOL FOR THE GIFTED,MIDDLE SCHOOL,94402,,"201 Polhemus Rd.
SAN MATEO, CA 94402
(37.534139816662332, -122.349846164791980)"
158,MENLO-ATHERTON HIGH SCHOOL,HIGH SCHOOL,94027,,"555 Middlefield Rd.
ATHERTON, CA 94027
(37.461061566372678, -122.176764803543410)"
159,KIDS CONNECTION ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94404,Based on parcels tax use and Google,"1998 Beach Park Blvd.
FOSTER CITY, CA 94404
(37.569360792479472, -122.265336061188730)"
160,THE GERMAN-AMERICAN INTERNATIONAL SCHOOL,K-8 SCHOOL,94025,Based on parcels tax use and Google,"275 Elliott Dr.
MENLO PARK, CA 94025
(37.459829932730528, -122.149415406072170)"
161,MID-PENINSULA HIGH SCHOOL,HIGH SCHOOL,94025,Based on parcels tax use and Google,"1340 Willow Road
MENLO PARK, CA 94025
(37.476219610142053, -122.152602422986010)"
162,CESAR CHAVEZ ACADEMY MIDDLE SCHOOL,MIDDLE SCHOOL,94303,Revision based on parcels tax use,"2450 Ralmar St.
EAST PALO ALTO, CA 94303
(37.473845527058707, -122.147038388371910)"
163,BELLE AIR ELEMENTARY SCHOOL,K-6 SCHOOL,94066,Based on phone info from the City of San Bruno Parks dept.,"450 3rd Ave
SAN BRUNO, CA 94066
(37.624938565045468, -122.406260720367560)"
164,MEADOWS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94030,Revision based on parcels tax use,"1101 Helen Dr.
MILLBRAE, CA 94030
(37.601821030133017, -122.418010918744120)"
165,WHERRY ACADEMY,K-12 SCHOOL,94063,Based on parcels tax use and Google,"452 Fifth Avenue
REDWOOD CITY, CA 94063
(37.473335932944870, -122.203682146397260)"
166,EAST PALO ALTO ACADEMY,HIGH SCHOOL,94025,,"475 Pope St.
MENLO PARK, CA 94025
(37.460481949081839, -122.156366938049960)"
167,PILARCITOS ALTERNATIVE HIGH,HIGH SCHOOL,94019,Revision based on parcels tax use,"498 Kelly Ave.
HALF MOON BAY, CA 94019
(37.464046354854887, -122.434290096694770)"
168,SAN CARLOS CHARTER LEARNING CENTER,K-8 SCHOOL,94070,,"750 Dartmouth Ave.
SAN CARLOS, CA 94070
(37.507893877382344, -122.285081350933920)"
169,SAINT VERONICA ELEMENTARY SCHOOL,RELIGIOUS SCHOOL K-8,94080,Private School,"434 Alida Way
SOUTH SAN FRANCISCO, CA 94080
(37.646028051145528, -122.430128334035810)"
170,MARGARET PAULINE BROWN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"305 Eastmoor Ave.
DALY CITY, CA 94015
(37.684692392666001, -122.476633949208020)"
171,MCKINLEY INSTITUTE OF TECHNOLOGY,MIDDLE SCHOOL,94062,MCKINLEY INTERMEDIATE SCHOOL,"400 Duane St.
REDWOOD CITY, CA 94062
(37.482046791255648, -122.236020147356000)"
172,ADELANTE SPANISH IMMERSION SCHOOL,ELEMENTARY SCHOOL,94063,Adelante Spanish Immersion,"3150 Granger Way
REDWOOD CITY, CA 94063
(37.454265376265539, -122.243501125701000)"
173,JEFFERSON HIGH SCHOOL,HIGH SCHOOL,94014,,"6996 Mission St.
DALY CITY, CA 94014
(37.695762247338529, -122.464802015818710)"
174,BELLE HAVEN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,Caltrans data,"415 Ivy Dr.
MENLO PARK, CA 94025
(37.475946085959222, -122.160770962866340)"
175,SAINT PIUS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94061,Based on tax use data,"1100 Woodside Rd.
REDWOOD CITY, CA 94061
(37.461103297069798, -122.225611125613770)"
176,NOTRE DAME de NAMUR UNIVERSITY,UNIVERSITY,94002,Revision based on parcels tax use,"1500 Ralston Avenue
BELMONT, CA 94002
(37.515351271667356, -122.283568456841420)"
177,TRINITY EPISCOPAL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,Based on aerial photos,"2650 Sand Hill Rd.
MENLO PARK, CA 94025
(37.420934388935279, -122.207637486983730)"
178,COLLEGE PARK ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94401,Formerly Turnbull Learning Academy. SMFC School District,"715 Indian Avenue
SAN MATEO, CA 94401
(37.575627012854163, -122.327781594764800)"
179,HILLSIDE CHRISTIAN ACADEMY,RELIGIOUS SCHOOL K-6,94080,,"1415 Hillside Blvd.
SOUTH SAN FRANCISCO, CA 94080
(37.668108283395782, -122.424543103672560)"
180,PARKSIDE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94402,,"1685 Eisenhower St.
SAN MATEO, CA 94402
(37.560394207591386, -122.296949753228860)"
181,ROY CLOUD ELEMENTARY SCHOOL,K-8 SCHOOL,94061,,"3790 Red Oak Way
REDWOOD CITY, CA 94061
(37.458604946066430, -122.256226265655440)"
182,BRITTAN ACRES ELEMENTARY SCHOOL,K-4 SCHOOL,94070,school polygons merged,"2000 Belle Ave.
SAN CARLOS, CA 94070
(37.496311263819344, -122.263746582125020)"
183,ASPIRE EPA CHARTER SCHOOL,K- 6 SCHOOL,94303,Based on parcels tax use and Google,"1286 Runnymede St.
EAST PALO ALTO, CA 94303
(37.468665101148019, -122.127281018082770)"
184,WOODSIDE HIGH SCHOOL,HIGH SCHOOL,94062,,"199 Churchill Ave
WOODSIDE, CA 94062
(37.442611405444147, -122.230594839571210)"
185,NORTH STAR ACADEMY ELEMENTARY SCHOOL,3-8 SCHOOL,94062,Caltrans data and RWC school district info,"400 Duane St.
REDWOOD CITY, CA 94062
(37.482046791255648, -122.236020147356000)"
186,CAPUCHINO HIGH SCHOOL,HIGH SCHOOL,94066,,"1501 Magnolia Dr.
SAN BRUNO, CA 94066
(37.610141862370945, -122.403971267746240)"
187,ENCINAL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94027,,"195 Encinal Ave.
ATHERTON, CA 94027
(37.464681842326002, -122.185041801519550)"
188,PHILLIPS BROOKS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,,"2245 Avy Ave
MENLO PARK, CA 94025
(37.429137804477136, -122.205199478167260)"
189,SPRING VALLEY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94030,,"817 Murchison Dr.
MILLBRAE, CA 94030
(37.592132600122198, -122.390558526730600)"
190,PENINSULA SCHOOL LTD.,K-8 SCHOOL,94025,Based on parcels tax use and Google,"920 Peninsula Way
MENLO PARK, CA 94025
(37.465617620343281, -122.166108526807450)"
191,LAS LOMITAS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94027,revision based on parcels tax use,"299 Alameda de Las Pulgas
ATHERTON, CA 94027
(37.436989487621361, -122.212158249667910)"
192,CORTE MADERA MIDDLE SCHOOL,MIDDLE SCHOOL,94028,Based on tax use,"4575 Alpine Road.
PORTOLA VALLEY, CA 94028
(37.369323791853013, -122.211543375313820)"
193,PESCADERO CONTINUATION HIGH,HIGH SCHOOL,94060,Similar address to Pesc High school,"350 Butano Cutoff
PESCADERO UNINC, CA 94060
(37.246911907268121, -122.364119392136790)"
194,MENLO COLLEGE,COLLEGE,94027,comprise of two separated polygons,"1000 El Camino Real
ATHERTON, CA 94027
(37.457361911042000, -122.190865116874110)"
195,NOTRE DAME HIGH SCHOOL,HIGH SCHOOL,94002,,"1540 Ralston Ave.
BELMONT, CA 94002
(37.514659803947595, -122.285653709822280)"
196,tHE NUEVA SCHOOL,K-8 SCHOOL,94010,Based on parcels tax use,"6565 Skyline Boulevard
HILLSBOROUGH, CA 94010
(37.561039596591336, -122.383225626677070)"
197,COSTANO ELEMENTARY SCHOOL,K-8 SCHOOL,94303,same address as 49ers intermediate school,"2695 Fordham St.
EAST PALO ALTO, CA 94303
(37.478371082366763, -122.136889544787110)"
198,FORTY-NINERS ACADEMY SCHOOL,INTERMEDIATE SCHOOL,94303,same address as Costano Elementary,"2695 Fordham St.
EAST PALO ALTO, CA 94303
(37.478371082366763, -122.136889544787110)"
199,SANDPIPER ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94065,,"801 Redwood Shores Pkwy.
REDWOOD CITY, CA 94065
(37.537779691828192, -122.234881725871160)"
200,ROGER WILLIAMS ACADEMY,RELIGIOUS SCHOOL,94080,Based on Google Maps,"600 grand Ave.
SOUTH SAN FRANCISCO, CA 94080
(37.657322604244996, -122.419579689843910)"
201,SPRUCE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94080,Revision based on parcels tax use,"501 Spruce Ave.
SOUTH SAN FRANCISCO, CA 94080
(37.658379841248433, -122.415406479953280)"
202,WILKINSON SCHOOL,K-8 SCHOOL,94019,Based on parcels tax use and Google,"750 Avenue Alhambra.
HALF MOON BAY, CA 94019
(37.503021639163663, -122.472729673353870)"
203,SAINT CHARLES SCHOOL,ELEMENTARY SCHOOL,94070,comprise of 3 parcels 050251080 - 050251030 - 050251100,"880 Tamarack Ave.
SAN CARLOS, CA 94070
(37.495465334939155, -122.265952531849090)"
204,CUNHA INTERMEDIATE SCHOOL,INTERMEDIATE SCHOOL,94019,Revision based on parcels tax use,"600 Church St.
HALF MOON BAY, CA 94019
(37.462753292371019, -122.431305193533330)"
205,CAADA COLLEGE,COLLEGE,94061,,"4200 Farm Hill Blvd.
REDWOOD CITY, CA 94061
(37.447434935572055, -122.260381431985280)"
206,TERRA LINDA MIDDLE SCHOOL,5-8 SCHOOL,94070,,"750 Dartmouth Ave.
SAN CARLOS, CA 94070
(37.507893877382344, -122.285081350933920)"
207,ALTA LOMA MIDDLE SCHOOL,MIDDLE SCHOOL,94080,Name changed based on SSF School District,"116 Romney Ave.
SOUTH SAN FRANCISCO, CA 94080
(37.660602963109710, -122.450649888560700)"
208,HILLVIEW MIDDLE SCHOOL,MIDDLE SCHOOL,94025,Revision based on parcels tax use,"1100 Elder Ave.
MENLO PARK, CA 94025
(37.438574625425474, -122.195444996788820)"
209,HALF MOON BAY HIGH SCHOOL,HIGH SCHOOL,94019,Revision based on parcels tax use,"Lewis Foster Dr.
Half Moon Bay, CA 94019
(37.469626780038112, -122.431972807977760)"
210,ALL SOULS SCHOOL,RELIGIOUS SCHOOL K-8,94080,Revision based on parcels tax use,"479 Miller Ave.
SOUTH SAN FRANCISCO, CA 94080
(37.657260137259861, -122.415075416635090)"
211,SERENDIPITY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94002,Tax Use data and Google,"2820 Ponce Ave.
BELMONT, CA 94002
(37.514788791658887, -122.303813273664990)"
212,RUSSELL BEDE SCHOOL,ELEMENTARY SCHOOL,94401,based on taxuse and City of San Mateo data,"446 Turner Terr.
SAN MATEO, CA 94401
(37.572088506852964, -122.334342612020590)"
213,BRISBANE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94005,,"500 San Bruno Ave.
BRISBANE, CA 94005
(37.680883691111504, -122.399138510282440)"
214,FAIR OAKS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94063,,"2950 Fair Oaks Ave.
REDWOOD CITY, CA 94063
(37.479537602252130, -122.204764979234030)"
215,HAWES ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94063,Crossing parcel tax use - water company,"909 Roosevelt Ave.
REDWOOD CITY, CA 94063
(37.473268298116110, -122.232835355569110)"
216,GARFIELD ELEMENTARY CHARTER SCHOOL,K-8 SCHOOL,94025,,"3600 Middlefield Rd.
MENLO PARK, CA 94025
(37.470083279149378, -122.199404601677940)"
217,SAINT JOSEPHS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94027,,"150 Valparaiso Avenue
ATHERTON, CA 94027
(37.448997418698816, -122.193449903221510)"
218,SAINT RAYMOND ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,,"1211 Arbor Rd.
MENLO PARK, CA 94025
(37.447953229420079, -122.190061143559450)"
219,ROOSEVELT ELEMENTARY SCHOOL,K-6 SCHOOL,94062,,"2223 Vera Ave.
REDWOOD CITY, CA 94062
(37.466859760213616, -122.244734729080090)"
220,ALVIN S. HATCH ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94019,,"490 Miramontes Ave.
HALF MOON BAY, CA 94019
(37.463223136499757, -122.436213415769200)"
221,LAUREL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94027,,"95 Edge Rd.
ATHERTON, CA 94027
(37.465926670805352, -122.171031990758750)"
222,WILLOW OAKS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,,"620 Willow Rd.
MENLO PARK, CA 94025
(37.462813118985231, -122.158793150190110)"
223,OAK KNOLL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,,"1895 Oak Knoll Ln.
MENLO PARK, CA 94025
(37.430838819708143, -122.192543577659990)"
224,ORMONDALE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94028,,"200 Shawnee Pass
PORTOLA VALLEY, CA 94028
(37.381733354236339, -122.218034704863110)"
225,LA HONDA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94020,,"450 Sears Ranch Road
LA HONDA UNINC, CA 94020
(37.324705382846169, -122.279465037963530)"
226,PESCADERO ELEMENTARY AND MIDDLE SCHOOL,K-8 SCHOOL,94060,,"620 North St.
PESCADERO UNINC, CA 94060
(37.256899673426581, -122.375218435899900)"
227,PESCADERO HIGH SCHOOL,HIGH SCHOOL,94060,Similar address to Pesc Mid school,"350 Butano Cutoff
PESCADERO UNINC, CA 94060
(37.246911907268121, -122.364119392136790)"
228,GARDEN VILLAGE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,revision based on parcels tax use and aerial photo,"208 Garden Ln.
COLMA, CA 94015
(37.694351338821789, -122.476898608162090)"
229,GREEN HILLS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94030,Revision based on parcels tax use,"401 Ludeman Ln.
MILLBRAE, CA 94030
(37.605611994633037, -122.405268778172940)"
230,WOODSIDE ELEMENTARY SCHOOL,K-8 SCHOOL,94062,,"3195 Woodside Rd.
WOODSIDE, CA 94062
(37.428081956281233, -122.259283207414470)"
231,REDWOOD HIGH SCHOOL,HIGH SCHOOL,94063,Took over Edison's School buildings,"1968 Old Country Rd.
Redwood, CA 94063
(37.493333258382542, -122.243018377355540)"
232,KINGS MOUNTAIN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94062,,"211 Swett Road
WOODSIDE, CA 94062
(37.418448534006146, -122.322353689052220)"
233,WOODLAND ELEMENTARY SCHOOL,K-8 SCHOOL,94028,,"360 La Cuesta Dr.
PORTOLAVALLEY, CA 94028
(37.402050056138549, -122.196445906864910)"
234,SELBY LANE ELEMENTARY SCHOOL,K-8 SCHOOL,94027,,"170 Selby Ln.
ATHERTON, CA 94027
(37.458218446281890, -122.219005666904270)"
235,PORTOLA ELEMENTARY SCHOOL,K-6 SCHOOL,94066,was marked as a park,"300 Amador Ave.
SAN BRUNO, CA 94066
(37.624037700741219, -122.452513800248780)"
236,JOHN GILL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94062,,"555 Avenue del Ora
REDWOOD CITY, CA 94062
(37.473779265797390, -122.241643047672400)"
237,LIPMAN MIDDLE SCHOOL,MIDDLE SCHOOL,94005,Area changes based on Google and info from school,"1 Solano St.
BRISBANE, CA 94005
(37.685274295584897, -122.404955565277760)"
238,MILLS HIGH SCHOOL,HIGH SCHOOL,94030,,"400 Murchison Dr.
MILLBRAE, CA 94030
(37.593588797922187, -122.388674494576800)"
